Employee ID,Name,Department,Salary,IBAN
d3c3fbf0,Gloria Barron,Finance,94753,GB81KTIE61621707830086
465b7490,Gregory Pierce,Finance,50834,GB79BVDU57592147815911
b8e74d3c,Gabriela Keller,Finance,131816,GB94JQVD92351279997423
3b5b6e18,Natasha Powers,Finance,139837,GB76NLBP88542336783091
c784539f,Vincent Andersen,Finance,108491,GB58BSJK93118450319613
c0481b89,Brianna Rodriguez,Finance,145680,GB12AGYC16308521873329
2947071e,Julie Williams,Finance,134894,GB62DTXO57728681659709
9a61ca35,Charlene Martinez,Finance,59226,GB98XFOC76310017706266
d1904543,James Ferguson,Finance,95452,GB47HXHL47224043083274
a0f8b430,Randy Mann,Finance,122475,GB57TPMS61780053888621
0a1e3f0c,Robert Phillips,Finance,129574,GB60IHKT80744387151096
82151db3,Brooke Simpson,Finance,140105,GB42KSMI21165874676184
d605f429,Shannon Austin,Finance,82560,GB16YVVW98681655944344
333336f5,Jeremiah Curtis,Finance,90488,GB41MBGM50794140226183
664eb789,Angela Anderson,Finance,105319,GB39ZTWK75494845851054
169eabd9,Sarah Davis,Finance,82931,GB29KWXI19704139598526
f5902e9f,Jordan Campbell MD,Finance,72103,GB23PRAG92979282189371
b08ee2e9,Philip Richardson,Finance,134400,GB26YGMK85902394128681
41eea345,Alan Yang,Finance,128259,GB25MUJZ54056362494518
d5f87260,Matthew Cruz,Finance,138398,GB39VDSC38852309363183
97c0f9f1,Cassie Newman,Finance,146886,GB14GKON09685479727148
20db53e8,Dale Willis,Finance,117354,GB89WHHK97416688985426
cf9a4bbf,Felicia Burns,Finance,99071,GB59YDJZ37275205757093
4d299926,Christine Jackson,Finance,50756,GB69QXBN61083937708851
c951a688,Mrs. Mary Charles,Finance,143299,GB52BCJQ37996608129168
8822adad,Monica Murray,Finance,125601,GB56FFFT60584404172697
3ccac4f1,Stacy Oconnell,Finance,133155,GB66QHUF36467115069966
73e52327,Kimberly Thomas,Finance,134394,GB81EQFC46739458043315
6d616234,Brittany Benson,Finance,52987,GB71NNVS68611350611003
040894f7,Wayne Murphy,Finance,144032,GB93XWQL99038792848264
aa01d739,Nancy Goodwin,Finance,89818,GB73BZGD61771580258305
065d115e,Wanda Key,Finance,87865,GB65NLMS99687289698600
8404b591,James Moore,Finance,148841,GB10JVVM64073673140262
197a9a39,Elizabeth Hernandez,Finance,147526,GB44IBGI51853976015086
29af8e68,Erica Smith,Finance,94961,GB88NIZK92274294992076
6f3c9f4a,Cameron Franklin,Finance,96503,GB14LIKS00407376022894
74dd1919,Andrew Barrett,Finance,128433,GB47CSFN06916242158616
d90bd911,Cynthia Harris,Finance,109146,GB47HVZY97666520598902
0169d4ba,Roger Sanchez,Finance,103170,GB80CXXV00996032045991
2de3720a,Ryan Garcia,Finance,124599,GB87OFDJ02784256150698
ee8b0c57,Connor Oconnor,Finance,98365,GB60EYGR98337704831571
34f54aef,Mary Perez,Finance,109936,GB75JINO16900639820544
ee5b1e23,Elizabeth Wilson,Finance,147558,GB55INNG60881080185662
a22604b2,Lisa Frost,Finance,85458,GB58EOBM46957058434722
4cc7ff4e,Jennifer Lopez,Finance,95295,GB74RTFE73393333304131
6a49be37,Kevin Travis,Finance,127225,GB23BRSC00368223394451
70162665,Joshua Reyes,Finance,123345,GB26HTPM42143168844053
48999a2a,Stacey Garcia,Finance,105137,GB57OHXR64067091092582
1febc844,Elizabeth Campbell,Finance,121657,GB69EOUH23036754118162
6592630b,Peter Brennan,Finance,135556,GB71WMUJ68128333112009
5628bd72,Nichole Goodman,Finance,89857,GB98WXGG95940538948526
056410e2,David York,Finance,100814,GB90TAFW65608058894709
699ae944,Kyle Bailey,Finance,96201,GB74XYDD94993223153122
44aea421,Shelley Reynolds,Finance,59476,GB78XRLT66546868833131
700bb279,Bruce Barnes,Finance,134254,GB05JCLF40716720158254
88eb20e5,Teresa Thomas,Finance,125501,GB17UPHZ93627278883339
8b26a222,Heather Jackson,Finance,127198,GB91EQNX38191721499172
4b3d55f7,Kathryn Henderson,Finance,144427,GB09RIUX16733535451490
28cb0702,Brandon Haynes,Finance,69166,GB77DDIT43970209549180
7a199dc6,Brian Carter DVM,Finance,111053,GB28EPPS87269444757926
1bf9ba07,Jessica Chapman,Finance,80032,GB64QACW41990792356957
6e16fdef,Brian Thomas,Finance,119983,GB36VPCU35904582304621
58b16719,Eric Williams,Finance,71816,GB80LWPL05913854484376
48295779,Sonia Curry,Finance,130088,GB84SFDE59074601529263
f1814a3d,Raymond Martin,Finance,88728,GB27RBIO10118459719936
72db936d,Lydia Diaz,Finance,149523,GB05UFNC31435399311981
69e4a5cf,Jessica Douglas,Finance,96779,GB41INVX47236093443038
42a0998a,Billy Armstrong,Finance,73948,GB59OREI07629194565189
b2514b27,Lisa White,Finance,140798,GB74GGLN13540680761609
82e035ff,Anthony Swanson,Finance,57511,GB21FVKZ37058230630052
3fc6333c,James Martinez,Finance,73603,GB36HKBX15689834535738
49c72e78,Linda Davis,Finance,112379,GB69GXDJ46337614263916
94977854,Ashley Miller,Finance,97247,GB80UHMP30263189225558
2670949a,Shelly Bailey,Finance,72699,GB71LULC28065414909414
c5d838e1,Jill Hernandez,Finance,110293,GB20CSBS83828235676493
f3b359c6,Jeanette Mendoza,Finance,84536,GB51BSXW31318883313320
65f472f6,Gregory Matthews DDS,Finance,77402,GB69HHTV86770848471944
17c626f3,Margaret Johnson,Finance,126322,GB26QKWY01407905263111
2a817917,John Kim,Finance,52738,GB15USTI22214590145630
22c4848f,Stephanie Brown,Finance,76280,GB59JFCY39004565653325
e04693f2,Christopher Walker,Finance,65898,GB22TMUF94438420364428
7cb243f1,Christopher Smith,Finance,85697,GB69FPKJ96208546863278
2be088b3,Bruce Lewis,Finance,141004,GB61HCFA68091641548515
0d94a020,Brian Bailey,Finance,126076,GB07YCVR06433518429402
a0773c96,Timothy House,Finance,68885,GB37UQIB38926639494651
8934f983,Amanda Smith,Finance,147968,GB69JKYJ29254502046760
cd0ebe9a,Kristine Rogers,Finance,105426,GB21STXE31046295309314
b1534179,Kyle Johnson,Finance,52946,GB40DARH26705295263334
efc7c0be,Julie Phelps,Finance,68495,GB89AWSA72065600157981
4a51f7e3,Theodore Bell,Finance,105405,GB26MUVG00983997791792
b82bf83b,Hannah Smith,Finance,83057,GB17YPUT52812851637129
9a834f81,Kevin Martinez,Finance,133030,GB26UOWS79229029557954
67db2f12,Scott West,Finance,111793,GB60CLCW81096932185748
c53ac618,Wendy Simpson,Finance,55952,GB29BPBI53327131382129
7f657479,Isaac Lynch,Finance,135173,GB25LHXI81778263058851
afb75f7a,Jerome Griffith Jr.,Finance,123727,GB67SZQK17107037285239
170598ef,Molly Boyle,Finance,117599,GB32KJUV84619779732418
288a22bc,Samuel Cain,Finance,142280,GB23EQRL00627401746081
5704cc76,Kari Sanchez,Finance,74256,GB30WZKK10421979355470
de83f5d1,Christopher Sims,Finance,120317,GB23HGKX01292328996347
