Employee ID,Name,Department,Salary,IBAN
36269ac7,John Anderson MD,Finance,96948,GB55LGOB73126708463993
f2cc0aba,Bailey Knight,Finance,138982,GB03ORWS17177243165458
68087fb9,Yvonne Johnson,Finance,100021,GB33AFCU27118605399852
cc6c8be5,Vickie Lane,Finance,132553,GB32DULA29476365423581
d6232fa6,Brandon Barnes,Finance,147868,GB85MYKO61808864274972
da87c746,Sarah Ward,Finance,51508,GB91HQHK03889321232461
4e017543,Kayla Ray,Finance,149326,GB61QEWX18355637331071
54ae529b,Jennifer Riley,Finance,109115,GB83NUWB55420198119985
2db3c80c,Rachel Anderson,Finance,104997,GB80DERO98508477648944
6bdaf2b0,Melissa Simpson,Finance,67996,GB94LYLJ47424087708976
8cf6db51,Danny Wilson,Finance,77619,GB08CTMJ07024969611394
0a71efe4,Gregory Barnes,Finance,66509,GB39RBNO29537749962164
f269eaac,Adrian Grant,Finance,145060,GB47CKZR85064527610147
7a5f5bb5,Gary Hutchinson,Finance,75828,GB20ZLZN94882341678860
73a54ef5,Caleb Bauer,Finance,145639,GB36KMQV62670274979098
943e4503,Gabrielle Orozco,Finance,129122,GB77CPBO88900581106059
2b0ce4ca,Michael Jones,Finance,129300,GB21PDKB71254020405044
542b7925,Albert Navarro Jr.,Finance,149774,GB43ZWEH62166737613150
d44a6608,Jeff Spencer,Finance,96006,GB91QRCL43929138988892
982a43ab,Alan Solis,Finance,100808,GB76CJRS06856172541765
1f5c35da,Edward Lyons,Finance,82322,GB64QFSE23703512771325
757364fe,Christopher Lee,Finance,77388,GB61HGUJ29249625985791
57f18623,Justin Morris,Finance,59278,GB23WYKB85174892472575
51c0a6aa,Larry Howard,Finance,131844,GB31XDYI29218063740242
782ef582,Daniel Braun,Finance,104889,GB33QPNB40765217951457
cbca2940,Tina Gibbs,Finance,55310,GB66YNBW77415864464944
5a5d1d24,Kevin Jackson,Finance,136293,GB91CHLR92638618135177
14c9bffc,Carl Smith,Finance,118426,GB14JVNJ04621693821909
2803fb78,Edward Ayala,Finance,139314,GB81FGNN69998261860297
df519877,Diane Beasley,Finance,61141,GB46JKCO08110089740005
3ec4dc7f,Sierra Becker,Finance,84206,GB05XPDE10496067154426
6f33a279,Glenda Kelley,Finance,133992,GB67REFY60950946453896
5c853469,Melissa Davidson,Finance,119124,GB35SNKX87389607497290
8ae9967c,Mrs. Darlene Davis,Finance,124662,GB09JGCQ19661757629396
c43cdc56,Chad Patel,Finance,123686,GB87EDDA23830088205318
e94f3fea,Connie Greene PhD,Finance,57924,GB57OOJM36495421548270
37975c09,Edward Schaefer,Finance,79221,GB44XLCK20321228565819
20451aad,Richard Harris,Finance,91683,GB74JWLM33198763915458
773d296c,Kimberly Smith,Finance,148316,GB38MMCS92303118798902
2eafe536,Jocelyn Armstrong,Finance,133595,GB28NBYT58485023448418
5d0244f0,Darren Herring,Finance,69106,GB48ZMJX89008675937133
